Millis,Red,IR
135445,58216,102026
135496,58197,102008
135551,58190,102021
135598,58174,102001
135649,58200,102007
135711,58196,102015
135751,58193,102000
135802,58163,102010
135853,58186,102014
135911,58188,102015
135955,58184,102016
136006,58154,101994
136058,58172,101995
136111,58165,101996
136160,58164,102005
136211,58151,102011
136272,58154,101997
136313,58161,102001
136364,58164,102008
136415,58158,102012
136472,58157,102001
136517,58145,101985
136568,58146,102016
136619,58164,101993
136672,58152,102003
136721,58152,102025
136772,58137,101985
136831,58144,101990
136874,58139,101995
136925,58141,101992
136976,58130,101997
137032,58116,101997
137078,58127,101977
137129,58140,102008
137191,58123,102002
137232,58113,102009
137283,58120,101989
137334,58126,102008
137391,58129,102007
137436,58114,101981
137487,58094,101973
137538,58117,101989
137591,58113,101983
137640,58105,101978
137691,58111,101971
137752,58096,101979
137793,58103,101978
137844,58097,101975
137895,58093,101970
137952,58085,101986
137997,58087,101948
138048,58088,102007
138099,58076,101959
138151,58074,101962
138201,58067,101965
138252,58086,101963
138312,58077,101964
138354,58086,101976
138405,58068,101970
138456,58050,101958
138512,58075,101948
138559,58083,101961
138610,58075,101953
138671,58056,101951
138712,58065,101980
138763,58064,101951
138814,58041,101939
138871,58060,101949
138916,58048,101942
138967,58072,101964
139018,58040,101959
139073,58034,101950
139120,58074,101955
139171,58013,101962
139232,58032,101962
139273,58011,101948
139324,58050,101940
139375,57984,101944
139433,57979,101934
139477,57977,101922
139528,58015,101931
139579,57996,101945
139633,57986,101948
139681,57985,101936
139732,57996,101942
139792,58004,101931
139835,57984,101930
139886,57977,101934
139937,57973,101930
139992,57993,101932
140039,57999,101942
140090,57971,101925
140141,57979,101924
140192,57984,101952
140243,57970,101908
140294,57971,101933
140353,57965,101926
140396,57967,101938
140447,57957,101951
140498,57966,101928
140553,57956,101925
140600,57963,101935
140651,57939,101925
140713,57945,101921
140753,57950,101917
140804,57949,101916
140855,57958,101919
140913,57953,101915
140957,57949,101898
141009,57950,101928
141060,57949,101913
141113,57948,101928
141162,57946,101922
141213,57938,101929
141272,57933,101912
141315,57919,101903
141366,57918,101915
141417,57907,101911
141472,57921,101911
141519,57917,101919
141570,57923,101909
141621,57920,101916
141672,57918,101916
141723,57900,101890
141774,57927,101910
141832,57914,101907
141876,57916,101898
141927,57903,101926
141978,57900,101909
142032,57905,101911
142080,57908,101901
142131,57911,101895
142193,57922,101901
142234,57903,101892
142285,57894,101897
142336,57930,101903
142393,57906,101897
142438,57909,101935
142489,57904,101909
142540,57892,101899
142593,57915,101898
142642,57908,101909
142693,57879,101885
142752,57894,101879
142795,57902,101903
142846,57885,101897
142897,57853,101862
142952,57867,101865
142999,57895,101884
143050,57852,101893
143101,57863,101891
143153,57891,101887
143203,57882,101882
143254,57846,101901
143314,57841,101892
143356,57832,101896
143407,57878,101888
143459,57836,101875
143514,57821,101885
143561,57832,101872
143612,57851,101895
143673,57863,101886
143714,57828,101859
143765,57824,101879
143816,57856,101889
143873,57852,101894
143918,57839,101912
143969,57829,101873
144020,57827,101876
144073,57821,101873
144122,57801,101875
144173,57819,101869
144234,57786,101881
144275,57815,101881
144326,57810,101890
144377,57791,101868
144433,57806,101875
144479,57805,101879
144530,57798,101873
144581,57801,101882
144633,57800,101869
144684,57789,101850
144735,57783,101870
144794,57786,101853
144837,57782,101864
144888,57782,101857
144939,57762,101843
144994,57765,101841
145041,57763,101838
145092,57767,101846
145153,57773,101856
145194,57771,101840
145245,57769,101855
145296,57763,101846
145353,57750,101849
145398,57750,101867
145449,57762,101830
145500,57760,101859
145554,57755,101849
145602,57754,101853
145653,57756,101866
145713,57753,101854
145755,57756,101841
145806,57753,101859
145857,57757,101862
145913,57773,101861
145960,57762,101856
146011,57765,101852
146062,57774,101854
146113,57760,101851
146164,57765,101845
146215,57766,101853
146274,57753,101840
146317,57758,101858
146368,57754,101862
146419,57753,101853
146474,57767,101849
146521,57758,101848
146572,57736,101848
146633,57747,101842
146674,57763,101847
146725,57748,101860
146776,57757,101850
146834,57763,101835
146878,57773,101859
146929,57749,101842
146980,57748,101853
147034,57766,101863
147082,57777,101859
147134,57717,101836
147193,57740,101838
147236,57765,101827
147287,57772,101858
147338,57726,101850
147395,57736,101838
147440,57725,101831
147491,57764,101840
147542,57750,101858
147595,57711,101852
147644,57765,101858
147695,57718,101844
147754,57738,101837
147797,57700,101839
147848,57740,101835
147899,57713,101834
147955,57693,101841
148001,57702,101830
148052,57711,101836
148114,57716,101824
148155,57693,101817
148205,57690,101815
148256,57688,101813
148314,57699,101820
148359,57692,101811
148410,57669,101804
148461,57674,101799
148514,57685,101797
148563,57692,101808
148614,57659,101794
148675,57662,101803
148716,57688,101822
148767,57695,101805
148818,57666,101799
148875,57661,101800
148920,57668,101779
148971,57664,101789
149022,57680,101782
149075,57652,101786
149124,57665,101818
149175,57660,101783
149235,57676,101793
149277,57669,101783
149328,57655,101794
149379,57668,101796
149435,57658,101796
149481,57641,101778
149532,57656,101785
149594,57641,101776
149635,57633,101770
149686,57643,101780
149737,57652,101778
149794,57647,101791
149839,57646,101778
149890,57629,101758
149941,57646,101781
149994,57645,101779
150043,57651,101780
150094,57625,101748
150155,57624,101765
150196,57636,101756
150247,57628,101754
150298,57627,101752
150355,57626,101781
150400,57629,101740
150451,57626,101763
150502,57629,101765
150554,57635,101774
150604,57645,101792
150655,57650,101783
150715,57660,101795
150757,57684,101805
150809,57662,101797
150860,57669,101805
150915,57692,101800
150962,57694,101809
151013,57695,101808
151074,57685,101807
151115,57701,101819
151166,57696,101825
151217,57686,101804
151274,57690,101803
151319,57695,101828
151370,57679,101819
151421,57676,101826
151476,57665,101815
151523,57702,101820
151574,57657,101828
151636,57646,101831
151676,57651,101812
151727,57698,101829
151778,57656,101835
151836,57653,101836
151880,57658,101824
151931,57697,101803
151982,57667,101823
152036,57654,101819
152085,57648,101816
152136,57653,101815
152195,57674,101819
152238,57655,101810
152289,57648,101817
152340,57646,101822
152395,57671,101821
152442,57684,101806
152493,57684,101805
152556,57632,101815
152595,57668,101833
152646,57640,101803
152697,57651,101797
152756,57628,101796
152799,57651,101798
152850,57629,101800
152901,57640,101802
152955,57648,101799
153003,57644,101808
153054,57639,101802
153116,57627,101808
153156,57650,101810
153207,57644,101807
153259,57637,101795
153316,57639,101804
153361,57638,101796
153412,57649,101806
153463,57633,101806
153516,57630,101817
153565,57638,101815
153616,57641,101798
153675,57640,101806
153718,57641,101795
153769,57639,101815
153820,57619,101800
153875,57627,101805
153922,57634,101809
153973,57637,101802
154024,57632,101802
154075,57632,101833
154126,57627,101793
154177,57626,101806
154235,57627,101815
154279,57632,101816
154330,57620,101840
154381,57623,101826
154435,57620,101825
154484,57633,101818
154535,57611,101824
154596,57607,101817
154637,57623,101814
154688,57615,101805
154739,57610,101794
154796,57611,101806
154841,57616,101798
154892,57613,101806
154943,57613,101791
154996,57605,101807
155045,57614,101810
155096,57620,101807
155155,57610,101800
155198,57618,101799
155249,57602,101804
155300,57582,101792
155356,57623,101795
155402,57611,101814
155453,57598,101800
155504,57604,101804
155556,57615,101808
155606,57610,101783
155657,57601,101795
155715,57605,101784
155760,57585,101794
155811,57618,101828
155862,57579,101763
155915,57582,101785
155964,57585,101790
156015,57576,101769
156076,57607,101768
156117,57568,101772
156168,57565,101783
156219,57589,101786
156276,57589,101789
156321,57547,101777
156372,57610,101801
156423,57560,101791
156476,57569,101771
156525,57534,101777
156576,57545,101759
156636,57542,101767
156678,57534,101774
156729,57538,101763
156780,57502,101751
156836,57548,101773
156882,57560,101760
156933,57519,101747
156985,57525,101757
157036,57541,101752
157087,57534,101732
157138,57520,101737
157197,57513,101746
157240,57508,101749
157291,57521,101766
157342,57494,101743
157397,57493,101743
157444,57493,101728
157495,57448,101718
157556,57486,101720
157597,57473,101723
157648,57473,101715
157699,57485,101716
157756,57460,101709
157801,57446,101708
157852,57442,101679
157903,57386,101653
157957,57359,101639
158005,57358,101648
158056,57375,101652
158116,57383,101654
158158,57394,101670
158210,57411,101674
158261,57414,101662
158316,57423,101665
158363,57427,101674
158414,57424,101673
158465,57411,101659
158516,57432,101676
158567,57433,101669
158618,57425,101684
158677,57424,101668
158720,57429,101677
158771,57423,101682
158822,57409,101695
158877,57430,101696
158924,57427,101669
158975,57401,101670
159037,57404,101673
159077,57411,101649
159128,57409,101658
159179,57438,101659
159237,57400,101665
159281,57395,101696
159332,57408,101658
159383,57410,101653
159437,57394,101658
159486,57381,101660
159537,57395,101653
159596,57403,101640
159639,57382,101640
159690,57383,101639
159741,57386,101644
159796,57386,101657
159843,57380,101643
159894,57389,101643
159945,57359,101647
159996,57388,101646
160047,57386,101637
160098,57382,101633
160157,57374,101635
160200,57373,101621
160251,57386,101629
160302,57382,101628
160356,57388,101642
160404,57380,101627
160455,57385,101623
160517,57387,101624
160557,57382,101602
160608,57376,101635
160660,57396,101621
160717,57404,101612
160762,57413,101669
160813,57364,101600
160864,57359,101623
160917,57391,101628
160966,57396,101626
161017,57345,101637
161078,57347,101647
161119,57446,101661
161170,57458,101697
161221,57468,101691
161278,57447,101678
161323,57468,101671
161374,57415,101660
161425,57410,101648
161477,57418,101674
161527,57468,101676
161578,56844,101339
161638,56394,101235
161680,56073,101237
161731,55712,101355
161782,55341,101557
161838,55222,101619
161885,55150,101646
161936,55102,101611
161997,55087,101575
162038,55032,101541
162089,55008,101532
162140,55008,101499
162197,55014,101467
162242,55034,101469
162293,55048,101407
162344,55159,101385
162397,55212,101308
162446,55284,101194
162497,55569,101031
162558,55675,101013
162599,55740,101044
162650,55958,101157
162701,56083,101217
162757,56397,101269
162803,56578,101733
162854,57899,102508
162905,58035,102694
162957,59345,103623
163007,59466,103536
163058,59815,103832
163118,59909,103975
163161,59933,103877
163212,59881,103912
163263,60036,104053
163318,60082,104070
163365,60069,104159
163416,60339,104037
163477,59519,103200
163518,58707,102750
163569,58185,102501
163620,57613,102240
163677,57243,102116
163722,56932,102079
163773,56720,102042
163824,56387,102152
163877,56214,102210
163926,56100,102287
163977,55897,102239
164037,55848,102183
164079,55803,102157
164130,55774,102129
164181,55737,102080
164237,55732,102032
164283,55724,101931
164335,55752,101887
164386,55844,101758
164437,55867,101757
164488,55884,101740
164539,56101,101620
164598,56284,101632
164641,56446,101678
164692,56670,101778
164743,56757,101823
164798,56809,101874
164845,56809,101899
164896,57062,101983
164957,57150,102042
164998,57479,102356
165049,57814,102392
165100,58523,103067
165158,58907,103458
165202,59423,103907
165253,59881,104466
165304,60328,103670
165358,58954,103110
165406,58748,103003
165457,57755,102439
165519,57445,102335
165560,57203,102295
165611,57002,102291
165662,56673,102341
165719,56581,102397
165764,56506,102397
165815,56444,102393
165866,56306,102356
165919,56233,102352
165968,56186,102352
166019,56141,102257
166078,56142,102195
166121,56108,102144
166172,56131,102086
166223,56179,101919
166278,56219,101862
166325,56256,101811
166376,56521,101808
166438,56578,101802
166478,56712,101895
166529,56817,101927
166580,57167,102296
166638,57679,102507
166682,57826,102477
166733,57707,102571
166785,58218,102817
166838,58140,102832
166887,58299,103014
166938,58919,103403
166999,59026,103627
167040,59234,103956
167091,60047,104616
167142,60806,105138
167199,61411,105540
167244,61748,105682
167295,61988,105990
167346,62355,105370
167399,60938,104615
167448,60292,104194
167499,58790,103118
167558,58389,102950
167601,58095,102859
167652,57865,102809
167703,57511,102739
167759,57361,102763
167805,57231,102737
167856,57022,102723
167918,56939,102669
167959,56896,102673
168010,56839,102636
168061,56693,102641
168118,56638,102612
168163,56580,102578
168214,56547,102567
168265,56500,102380
168318,56527,102262
168367,56578,102160
168418,56862,102133
168479,57042,102179
168520,57341,102313
168571,57623,102433
168622,58211,103081
168679,58580,103096
168724,58570,103362
168775,59636,104731
168826,60607,104846
168878,61047,105759
168928,62732,106659
168979,61419,105195
169039,61718,106180
169081,63008,106462
169132,61592,104789
169183,60681,104834
169239,60709,104905
169286,61037,105449
169337,62056,106109
169388,62108,105267
169439,60787,104567
169490,59993,103977
169541,59017,103344
169600,58538,103192
169643,58248,103132
169694,58000,103091
169745,57656,103060
169800,57513,103050
169847,57411,103048
169898,57194,103043
169959,57128,102993
170000,57025,102973
170051,56968,102929
170102,56867,102856
170160,56813,102845
170204,56777,102804
170255,56761,102767
170306,56776,102546
170360,56842,102405
170408,57054,102403
170460,57323,102438
170519,57653,102579
170562,57766,102604
170613,57909,102690
170664,58179,103119
170719,58819,103489
170766,59309,103918
170817,59778,104350
170868,61343,105348
170919,61043,105015
170970,61156,105880
171021,63246,106593
171080,62211,105405
171123,61338,105516
171174,62110,106257
171225,61754,105844
171280,62353,106286
171327,62542,106271
171378,63011,106815
171440,63433,106954
171480,63004,105994
171531,61408,104826
171582,59860,103969
171640,59136,103438
171685,58642,103382
171736,58414,103286
171787,57977,103242
171840,57814,103241
171889,57664,103252
171940,57515,103299
171999,57472,103277
172042,57425,103252
172093,57377,103215
172144,57241,103144
172199,57213,103099
172246,57162,103042
172297,57144,102990
172348,57178,102857
172399,57247,102782
172450,57340,102764
172501,57355,102677
172559,57555,102726
172603,57721,102709
172654,57983,102884
172705,58369,102963
172759,58371,103245
172807,59423,104571
172858,60210,104604
172920,60991,105900
172961,62417,106286
173012,62319,106259
173063,63340,106870
173120,63034,106616
173165,63168,107592
173216,64476,107486
173267,63622,107327
173320,64025,107392
173369,63905,107357
173420,64249,107234
173481,62799,105734
173522,61408,105005
173573,60664,104556
173624,59236,103614
173681,58899,103551
173726,58677,103475
173777,58393,103433
173828,58141,103416
173880,58027,103434
173930,57937,103427
173981,57779,103413
174041,57723,103387
174083,57660,103355
174134,57598,103304
174186,57479,103219
174241,57435,103178
174288,57407,103115
174339,57423,103004
174400,57435,102917
174441,57491,102827
174492,57612,102826
174543,57908,102878
174600,58289,103113
174645,58720,103264
174696,58829,103411
174747,59660,104150
174800,60247,104894
174849,61308,105520
174900,61751,105947
174961,62450,106378
175002,63070,107251
175053,64574,108196
175104,63295,106611
175160,63841,108504
175206,65910,108094
175257,63958,107000
175308,64640,108076
175360,64674,107729
175411,64371,107804
175462,64551,107344
175521,63226,106105
175564,61893,105311
175615,61133,104876
175666,59504,103770
175721,59182,103679
175768,58903,103590
175819,58412,103515
175880,58233,103492
175921,58137,103467
175972,58109,103472
176023,57915,103460
176080,57835,103411
176125,57749,103377
176176,57695,103293
176227,57605,103237
176281,57558,103215
176329,57545,103169
176380,57555,102979
176440,57626,102841
176482,57824,102875
176533,58191,102977
176584,58599,103227
176640,59354,104081
176687,59789,103932
176738,59733,104371
176789,62923,106262
176840,62114,105806
176891,61954,105942
176942,63289,106933
177001,63383,106722
177044,63005,106575
177095,63388,107175
177146,63613,107052
177201,63831,107363
177248,64150,107525
177299,64352,107654
177360,64459,107670
177401,64449,107587
177452,64360,107564
177503,64407,107615
177561,64449,107626
177605,64461,107628
177656,64430,107605
177707,64481,107630
177761,64490,107635
177809,64457,107603
177861,64361,107556
177922,64350,107528
177963,64391,107512
178014,64390,107535
178065,64365,107540
178122,64358,107525
178167,64350,107512
178218,64377,107474
178269,64293,107427
178322,64248,107437
178371,64316,107465
178422,64248,107376
178481,64194,107330
178524,64157,107330
178575,64214,107330
178626,64145,107286
178682,64137,107304
178728,64121,107266
178779,64110,107263
178841,64129,107236
178882,64082,107187
178932,64017,107171
178983,64063,107203
179041,64078,107162
179086,64024,107116
179137,63949,107064
179188,63964,107099
