Millis,Red,IR
1391951,65720,107915
1392004,65667,107904
1392061,65686,107925
1392111,65700,107914
1392164,65649,107879
1392220,65658,107888
1392270,65664,107883
1392323,65638,107880
1392380,65646,107891
1392429,65642,107887
1392482,65631,107849
1392541,65620,107826
1392589,65607,107820
1392642,65562,107792
1392700,65560,107782
1392748,65575,107804
1392801,65550,107775
1392860,65553,107774
1392907,65534,107773
1392961,65507,107745
1393021,65524,107751
1393067,65535,107749
1393120,65491,107754
1393182,65471,107735
1393226,65508,107726
1393279,65426,107700
1393342,65419,107677
1393386,65417,107669
1393439,65426,107670
1393501,65425,107660
1393545,65403,107676
1393598,65402,107646
1393661,65407,107632
1393704,65386,107641
1393757,65348,107619
1393811,65373,107653
1393864,65399,107641
1393917,65368,107587
1393970,65328,107599
1394023,65325,107591
1394076,65322,107570
1394129,65249,107545
1394182,65263,107553
1394236,65276,107546
1394289,65254,107528
1394342,65257,107536
1394395,65251,107546
1394448,65255,107482
1394501,65241,107508
1394554,65252,107507
1394607,65184,107475
1394662,65198,107478
1394714,65209,107490
1394767,65151,107451
1394821,65159,107443
1394873,65145,107433
1394926,65095,107412
1394981,65132,107440
1395032,65163,107425
1395086,65091,107376
1395142,65087,107394
1395192,65104,107407
1395245,65087,107382
1395301,65084,107377
1395351,65081,107344
1395404,65055,107345
1395461,65033,107313
1395511,65019,107312
1395564,65015,107293
1395622,65003,107290
1395670,64982,107290
1395723,64974,107282
1395782,64995,107284
1395829,64977,107263
1395882,64923,107241
1395941,64954,107257
1395989,64955,107258
1396042,64924,107213
1396102,64921,107211
1396148,64893,107212
1396201,64885,107157
1396262,64862,107143
1396307,64873,107173
1396361,64833,107131
1396423,64832,107153
1396467,64836,107163
1396520,64747,107099
1396582,64791,107138
1396626,64808,107147
1396679,64761,107099
1396742,64761,107095
1396786,64758,107134
1396839,64753,107056
1396903,64686,107053
1396945,64742,107051
1396998,64713,107052
1397051,64700,107053
1397104,64727,107046
1397157,64711,107117
1397211,64672,107007
1397264,64655,107003
1397317,64657,106987
1397370,64670,107004
1397423,64661,106984
1397476,64624,106979
1397529,64618,106965
1397582,64620,106953
1397636,64609,106943
1397689,64557,106922
1397743,64561,106916
1397795,64588,106941
1397848,64535,106894
1397903,64525,106911
1397954,64549,106919
1398007,64505,106862
1398062,64504,106885
1398114,64536,106900
1398167,64484,106842
1398223,64458,106849
1398273,64490,106843
1398326,64422,106800
1398383,64390,106805
1398432,64414,106815
1398486,64392,106812
1398542,64409,106812
1398592,64410,106788
1398645,64382,106771
1398703,64361,106782
1398751,64383,106800
1398804,64405,106762
1398863,64357,106752
1398911,64344,106732
1398964,64319,106718
1399022,64324,106707
1399070,64319,106696
1399123,64281,106696
1399182,64294,106709
1399229,64293,106688
1399282,64250,106663
1399343,64269,106663
1399389,64274,106660
1399442,64234,106640
1399502,64263,106642
1399548,64264,106656
1399601,64170,106595
1399662,64193,106593
1399707,64188,106589
1399761,64174,106586
1399823,64179,106595
1399867,64158,106612
1399920,64151,106584
1399984,64113,106567
1400026,64133,106549
1400079,64109,106567
1400132,64136,106557
1400186,64119,106538
1400239,64124,106532
1400292,64107,106509
1400345,64056,106499
1400398,64062,106501
1400451,64048,106479
1400504,64032,106476
1400557,64016,106487
1400611,64055,106487
1400664,64030,106478
1400717,64023,106486
1400770,64046,106464
1400824,63999,106447
1400876,64011,106460
1400929,63989,106439
1400984,63976,106420
1401036,63978,106443
1401089,63943,106381
1401143,63920,106391
1401195,63956,106417
1401248,63941,106371
1401303,63919,106378
1401354,63933,106382
1401407,63925,106368
1401464,63888,106364
1401514,63897,106372
1401567,63902,106376
1401623,63899,106342
1401673,63869,106330
1401726,63892,106346
1401783,63878,106334
1401832,63863,106332
1401886,63868,106314
1401944,63849,106320
1401992,63851,106308
1402045,63844,106312
1402103,63846,106290
1402151,63841,106302
1402204,63844,106298
1402263,63832,106284
1402311,63812,106281
1402364,63813,106258
1402424,63801,106257
1402470,63795,106251
1402523,63799,106229
1402584,63801,106239
1402629,63809,106254
1402682,63730,106195
1402743,63778,106219
1402789,63771,106216
1402842,63744,106218
1402904,63774,106228
1402948,63750,106206
1403001,63701,106187
1403064,63724,106182
1403107,63704,106183
1403161,63706,106181
1403214,63700,106161
1403267,63735,106183
1403320,63717,106163
1403373,63702,106144
1403426,63679,106147
1403479,63723,106150
1403532,63686,106139
1403586,63681,106132
1403639,63672,106119
1403692,63697,106132
1403745,63673,106106
1403798,63635,106119
1403851,63678,106105
1403904,63669,106105
1403957,63649,106097
1404011,63671,106104
1404065,63667,106080
1404117,63640,106085
1404170,63649,106071
1404224,63659,106099
1404276,63655,106092
1404329,63634,106075
1404384,63631,106067
1404436,63639,106071
1404489,63606,106036
1404545,63596,106039
1404595,63615,106041
1404648,63598,106048
1404704,63623,106045
1404754,63612,106036
1404807,63607,106043
1404864,63612,106031
1404914,63612,106020
1404967,63611,106024
1405025,63605,106031
1405073,63581,106009
1405126,63601,106012
1405185,63573,106000
1405232,63584,105985
1405286,63588,105998
1405344,63619,106017
1405392,63595,105989
1405445,63605,105994
1405505,63612,106009
1405551,63590,105971
1405604,63582,105997
1405665,63620,105986
1405711,63629,105981
1405764,63563,105963
1405824,63590,105941
1405870,63602,105970
1405923,63566,105937
1405985,63598,105937
1406029,63562,105949
1406082,63589,105968
1406145,63594,105956
1406189,63545,105980
1406242,63604,105977
1406306,63569,105968
1406348,63596,105959
1406401,63556,105953
1406454,63567,105948
1406507,63582,105933
1406561,63568,105921
1406614,63526,105916
1406667,63541,105919
1406720,63572,105921
1406773,63547,105918
1406826,63566,105928
1406879,63569,105919
1406932,63548,105911
1406986,63560,105923
1407039,63573,105925
1407092,63568,105906
1407146,63544,105877
1407198,63541,105899
1407251,63536,105872
1407306,63518,105855
1407357,63518,105873
1407411,63539,105868
1407465,63543,105877
1407517,63544,105862
1407570,63525,105871
1407626,63538,105880
1407676,63537,105856
1407729,63529,105870
1407786,63536,105869
1407836,63516,105857
1407889,63491,105843
1407945,63508,105839
1407995,63506,105818
1408048,63510,105819
1408106,63511,105856
1408154,63536,105873
1408207,63556,105827
1408266,63515,105823
1408314,63530,105840
1408367,63519,105839
1408425,63530,105833
1408473,63540,105843
1408526,63503,105817
1408585,63503,105818
1408632,63504,105809
1408686,63511,105797
1408746,63520,105794
1408792,63538,105800
1408845,63508,105785
1408905,63527,105796
1408951,63540,105803
1409004,63486,105808
1409067,63514,105789
1409111,63508,105787
1409164,63499,105797
1409226,63517,105793
1409270,63479,105785
1409323,63475,105777
1409387,63483,105772
1409429,63506,105764
1409482,63484,105783
1409536,63498,105768
1409589,63510,105766
1409642,63508,105758
1409695,63515,105757
1409748,63474,105764
1409801,63510,105772
1409854,63497,105761
1409907,63475,105741
1409961,63462,105711
1410014,63472,105728
1410067,63479,105734
1410120,63476,105756
1410173,63494,105741
1410227,63478,105742
1410279,63483,105731
1410332,63463,105718
1410387,63473,105719
1410439,63488,105734
1410492,63459,105685
1410546,63459,105711
1410598,63455,105699
1410651,63422,105674
1410706,63436,105674
1410757,63440,105677
1410811,63444,105686
1410867,63442,105696
1410917,63432,105683
1410970,63437,105697
1411026,63444,105684
1411076,63432,105666
1411129,63458,105696
1411186,63445,105673
1411236,63423,105645
1411289,63417,105639
1411347,63421,105647
1411395,63437,105650
1411448,63422,105648
1411506,63434,105657
1411554,63451,105660
1411607,63421,105643
1411666,63443,105664
1411714,63444,105650
1411767,63450,105649
1411827,63441,105657
1411873,63434,105642
1411926,63417,105610
1411987,63430,105603
1412032,63435,105625
1412086,63404,105601
1412146,63424,105621
1412192,63417,105611
1412245,63392,105600
1412307,63428,105609
1412351,63404,105600
1412404,63392,105606
1412467,63430,105617
1412511,63398,105621
1412564,63403,105595
1412628,63366,105583
1412670,63397,105568
1412723,63365,105574
1412776,63390,105581
1412829,63411,105582
1412882,63411,105626
1412936,63388,105565
1412989,63383,105568
1413042,63377,105548
1413095,63397,105576
1413148,63396,105554
1413201,63363,105556
1413254,63365,105543
1413307,63360,105534
1413361,63360,105539
1413414,63354,105533
1413468,63348,105521
1413520,63356,105534
1413573,63359,105525
1413627,63354,105547
1413679,63350,105531
1413732,63360,105523
1413787,63366,105528
1413839,63358,105519
1413892,63343,105513
1413948,63310,105505
1413998,63324,105498
1414051,63314,105501
1414108,63313,105505
1414157,63327,105513
1414211,63334,105521
1414267,63345,105507
1414317,63341,105493
1414370,63339,105501
1414428,63343,105524
1414476,63345,105519
1414529,63349,105498
1414588,63321,105476
1414636,63319,105483
1414689,63307,105470
1414747,63300,105474
1414795,63300,105472
1414848,63325,105472
1414908,63331,105475
1414954,63308,105463
1415007,63304,105452
1415068,63314,105458
1415114,63329,105447
1415167,63299,105445
1415227,63306,105438
1415273,63311,105453
1415326,63257,105453
1415389,63253,105421
1415432,63240,105406
1415486,63270,105436
1415548,63276,105442
1415592,63244,105453
1415645,63262,105441
1415709,63248,105439
1415751,63276,105443
1415804,63251,105432
1415857,63264,105429
1415911,63273,105429
1415964,63265,105421
1416017,63222,105385
1416070,63218,105390
1416123,63240,105396
1416176,63214,105401
1416229,63223,105406
1416282,63224,105396
1416336,63233,105394
1416389,63219,105402
1416442,63220,105406
1416495,63241,105404
1416549,63216,105383
1416601,63215,105397
1416654,63209,105376
1416709,63187,105341
1416761,63191,105367
1416814,63200,105353
1416868,63191,105359
1416920,63208,105379
1416973,63182,105375
1417029,63196,105376
1417079,63208,105368
1417132,63194,105365
1417189,63187,105385
1417239,63193,105375
