Millis,Red,IR
313431,97306,118463
313482,97295,118473
313533,97265,118445
313588,97252,118415
313635,97199,118426
313686,97210,118378
313737,96837,118137
313789,96682,118044
313839,96552,117969
313890,96488,117946
313948,96454,117940
313992,96436,117922
314044,96438,117963
314095,96369,117903
314148,96367,117873
314197,96338,117872
314248,96294,117841
314309,96295,117837
314350,96290,117851
314401,96286,117841
314452,96249,117817
314509,96250,117817
314554,96221,117795
314605,96251,117836
314656,96204,117798
314709,96228,117795
314758,96175,117788
314809,96130,117742
314869,96150,117728
314911,96150,117746
314962,96120,117770
315013,96104,117750
315069,96146,117761
315115,96130,117763
315166,96102,117762
315217,96101,117763
315269,96123,117755
315320,96121,117746
315371,96070,117760
315430,96078,117748
315473,96061,117748
315524,96091,117771
315575,96058,117751
315630,96063,117759
315677,96052,117739
315728,96026,117724
315789,96042,117717
315830,95999,117701
315881,96009,117688
315932,96030,117710
315989,96029,117710
316034,95991,117702
316085,96023,117718
316136,95995,117705
316190,95995,117703
316238,95986,117712
316289,95995,117718
316349,96012,117732
316391,96014,117746
316442,96015,117730
316494,96006,117744
316549,96040,117738
316596,96019,117740
316647,96021,117758
316698,96074,117778
316749,96093,117791
316800,96090,117771
316851,96096,117805
316910,96129,117814
316953,96168,117845
317004,96190,117899
317055,96344,117971
317110,96423,118029
317157,96510,118079
317208,96639,118125
317269,96671,118127
317310,96669,118147
317361,96711,118188
317412,96821,118244
317470,96857,118262
317514,96850,118285
317565,96847,118274
317616,96812,118236
317670,96754,118203
317719,96690,118169
317770,96684,118190
317829,96728,118210
317872,96735,118221
317923,96778,118248
317974,96787,118249
318029,96772,118236
318076,96765,118224
318127,96744,118235
318178,96757,118252
318229,96783,118259
318280,96783,118248
318331,96819,118255
318390,96794,118276
318433,96815,118268
318484,96783,118254
318535,96655,118159
318589,96632,118166
318637,96634,118154
318688,96672,118173
318750,96693,118208
318790,96712,118185
318841,96738,118206
318892,96799,118270
318950,96832,118302
318995,96899,118380
319046,96958,118408
319097,97054,118444
319150,97094,118456
319199,97103,118464
319250,97099,118473
319309,97100,118468
319352,97112,118456
319403,97106,118480
319454,96986,118394
319509,96966,118375
319556,96986,118384
319607,96972,118387
319658,96969,118402
319709,97005,118406
319760,97009,118405
319811,97015,118416
319869,97025,118412
319913,97011,118416
319964,97040,118429
320015,97011,118404
320069,96989,118414
320117,96993,118417
320168,96996,118401
320230,97000,118420
320271,96971,118401
320322,96976,118410
320373,96962,118387
320430,96919,118370
320475,96893,118346
320526,96828,118305
320577,96856,118355
320630,96919,118361
320679,96890,118360
320730,96886,118368
320791,96889,118379
320832,96926,118363
320883,96888,118373
320934,96866,118354
320991,96854,118359
321036,96898,118358
321087,96848,118337
321138,96829,118344
321190,96874,118356
321240,96877,118337
321291,96857,118338
321351,96846,118334
321393,96809,118314
321445,96766,118269
321496,96682,118230
321551,96671,118244
321598,96686,118239
321649,96721,118269
321710,96725,118263
321751,96700,118246
321802,96695,118259
321853,96680,118241
321910,96670,118246
321955,96660,118266
322006,96665,118222
322057,96582,118184
322110,96553,118180
322159,96539,118178
322210,96549,118186
322270,96540,118164
322312,96493,118126
322363,96420,118091
322414,96262,117980
322470,96223,117970
322516,96210,117974
322567,96185,117961
322618,96169,117940
322670,96128,117924
322721,96104,117898
322772,96073,117901
322831,96064,117912
322874,96049,117903
322925,96061,117893
322976,96053,117910
323031,96060,117918
323078,96054,117906
323129,96046,117924
323190,96058,117934
323231,96055,117921
323282,96077,117925
323333,95981,117857
323390,95955,117836
323435,95924,117851
323486,95918,117815
323537,95961,117833
323591,95939,117846
323639,95943,117841
323690,95952,117863
323750,95951,117851
323792,95937,117843
323843,95949,117866
323895,95972,117875
323950,95959,117868
323997,95963,117861
324048,95967,117876
324099,95963,117863
324150,95958,117870
324201,95938,117852
324252,95932,117847
324311,95887,117819
324354,95830,117782
324405,95816,117780
324456,95835,117804
324511,95886,117833
324558,95866,117825
324609,95867,117847
324670,95936,117871
324711,95960,117860
324762,95948,117894
324813,95987,117895
324871,95998,117900
324915,96019,117926
324966,95993,117912
325017,96023,117934
325071,96068,117984
325120,96124,118009
325171,96132,118052
325232,96155,118044
325273,96198,118024
325324,96204,118045
325375,96214,118083
325432,96250,118111
325477,96278,118114
325528,96317,118104
325579,96244,118071
325632,96202,118072
325681,96224,118067
325732,96129,118014
325791,96132,118012
325834,96100,118022
325885,96106,118000
325936,96046,117963
325992,96012,117959
326038,95968,117930
326089,95936,117916
326151,95913,117886
326192,95863,117854
326242,95827,117827
326293,95726,117778
326351,95708,117775
326396,95722,117784
326447,95713,117782
326498,95728,117794
326551,95732,117785
326600,95734,117794
326651,95717,117804
326712,95718,117792
326753,95726,117802
326804,95723,117796
326855,95731,117796
326912,95696,117792
326957,95702,117766
327008,95679,117781
327059,95700,117779
327112,95673,117780
327161,95682,117800
327212,95589,117704
327272,95557,117686
327314,95548,117689
327365,95537,117698
327416,95557,117700
327472,95559,117715
327518,95553,117717
327570,95562,117722
327631,95554,117717
327672,95544,117712
327723,95562,117731
327774,95550,117727
327831,95542,117728
327876,95556,117720
327927,95536,117706
327978,95534,117731
328031,95545,117710
328080,95523,117723
328131,95500,117676
328192,95448,117660
328233,95420,117638
328284,95404,117638
328335,95441,117652
328391,95434,117670
328437,95467,117655
328488,95464,117673
328539,95483,117685
328591,95467,117671
328641,95462,117710
328692,95475,117685
328752,95492,117701
328795,95506,117713
328846,95496,117711
328897,95519,117722
328952,95519,117714
328999,95515,117714
329050,95521,117718
329111,95480,117697
329152,95494,117699
329203,95473,117680
329254,95373,117621
329311,95361,117603
329356,95362,117620
329407,95366,117622
329458,95376,117622
329511,95366,117631
329560,95393,117646
329611,95330,117604
329671,95338,117622
329713,95369,117625
329764,95386,117644
329815,95382,117663
329873,95375,117656
329917,95379,117649
329968,95437,117683
330020,95401,117698
330073,95395,117683
330122,95373,117702
330173,95333,117634
330232,95305,117614
330275,95254,117595
330326,95236,117592
330377,95272,117618
330432,95299,117629
330479,95299,117593
330530,95251,117620
330593,95261,117646
330632,95334,117634
330683,95264,117616
330734,95230,117618
330793,95261,117638
330836,95316,117637
330887,95261,117600
330938,95244,117623
330992,95295,117661
331040,95310,117639
331091,95222,117621
331153,95247,117635
331193,95272,117633
331245,95251,117593
331296,95159,117551
331353,95142,117566
331398,95152,117559
331449,95190,117580
331500,95190,117580
331553,95174,117600
331602,95191,117622
331653,95190,117597
331712,95214,117607
331755,95211,117624
331806,95245,117633
331857,95227,117631
331912,95242,117642
331959,95224,117628
332010,95254,117641
332072,95235,117629
332112,95214,117625
332163,95199,117642
332214,95175,117590
332272,95135,117570
332316,95102,117558
332367,95093,117552
332418,95132,117588
332472,95136,117581
332521,95131,117595
332572,95132,117600
332633,95119,117594
332674,95144,117611
332725,95146,117615
332776,95147,117615
332833,95139,117611
332878,95132,117597
332929,95130,117601
332980,95121,117598
333033,95101,117594
333082,95115,117625
333133,95069,117550
333192,95027,117529
333235,94997,117504
333286,94979,117510
333337,94994,117528
333393,94998,117549
333439,95004,117522
333490,95029,117528
333552,94999,117534
333593,94977,117519
333643,94963,117529
333695,94977,117543
333752,94982,117536
333797,94979,117541
333848,94966,117526
333899,94963,117548
333952,94993,117562
334001,94986,117557
334052,94955,117558
334113,94950,117547
334154,94957,117522
334205,94948,117540
334256,94989,117574
334313,94999,117584
334358,95035,117576
334409,95025,117603
334460,95064,117627
334512,95086,117630
334562,95093,117640
334613,95078,117635
334673,95069,117647
334715,95074,117647
334766,95074,117633
334817,95075,117632
334873,95057,117629
334919,95049,117617
334971,95071,117623
335032,95013,117573
335073,94978,117580
335124,94963,117569
335175,94948,117573
335232,94976,117581
335277,94975,117572
335328,94969,117559
335379,94983,117575
335432,94967,117590
335481,94992,117588
335532,94996,117599
335593,94997,117593
335634,94980,117594
335685,95004,117631
335736,95032,117636
335792,95042,117648
335838,95037,117616
335889,95002,117603
335940,94909,117531
335992,94861,117514
336042,94839,117516
336093,94848,117527
336153,94891,117539
336196,94913,117562
336247,94886,117564
336298,94967,117604
336353,94977,117581
336400,94987,117580
336451,95025,117618
336512,95016,117615
336553,95026,117625
336604,95030,117630
336655,94979,117581
336714,94963,117572
336757,94994,117601
336808,94951,117588
336859,94943,117598
336914,94924,117591
336961,94956,117590
337012,94914,117603
337074,94917,117600
337114,94949,117580
337165,94948,117593
337216,94927,117599
337274,94915,117599
337318,94926,117594
337369,94958,117572
337421,94917,117578
337474,94865,117552
337523,94821,117522
337574,94782,117492
337633,94796,117488
337676,94794,117515
337727,94814,117543
337778,94816,117520
337833,94807,117520
337880,94790,117516
337931,94827,117520
337994,94797,117517
338033,94800,117543
338084,94785,117518
338135,94799,117520
338194,94755,117504
338237,94757,117488
338288,94727,117471
338339,94707,117464
338393,94704,117465
338441,94715,117476
338492,94692,117470
338554,94701,117455
338594,94708,117461
338646,94702,117471
338697,94674,117444
338754,94676,117464
338799,94681,117447
338850,94676,117461
338901,94682,117474
338954,94670,117458
339003,94664,117463
339054,94685,117485
339113,94683,117490
339156,94676,117485
339207,94682,117481
339258,94598,117435
339313,94597,117422
339360,94587,117429
339411,94603,117435
339462,94622,117439
339514,94603,117478
339564,94607,117430
339615,94642,117469
339673,94644,117470
339717,94631,117453
339768,94616,117488
339819,94620,117465
339873,94616,117458
339922,94642,117497
339973,94737,117538
340034,94745,117541
340075,94738,117545
340126,94726,117545
340177,94714,117521
340234,94697,117510
340279,94700,117497
340330,94706,117529
340381,94693,117524
340434,94708,117538
340483,94710,117543
340534,94706,117533
340593,94718,117536
340636,94736,117544
340687,94722,117562
340738,94726,117560
340794,94768,117555
340840,94781,117600
340891,94768,117598
340942,94777,117591
340994,94806,117616
341044,94827,117617
341096,94727,117578
341155,94711,117563
341198,94707,117582
341249,94748,117592
341300,94694,117588
341355,94709,117591
341402,94703,117590
341453,94734,117606
341514,94759,117605
341555,94735,117612
341606,94780,117605
341657,94808,117641
341714,94799,117642
341759,94764,117651
341810,94824,117659
341861,94816,117648
341915,94790,117668
341963,94803,117669
342014,94799,117653
342074,94776,117608
342116,94724,117617
342167,94697,117599
342218,94699,117615
342274,94739,117624
342321,94743,117637
342372,94724,117627
342423,94736,117624
342474,94741,117629
342525,94732,117622
342576,94746,117646
342635,94729,117635
342678,94734,117647
342729,94734,117651
342780,94731,117646
342835,94739,117655
342882,94743,117656
342933,94753,117650
342994,94744,117654
343035,94722,117588
343086,94684,117603
